antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
mood:Tired,cake:Café Tiramisu,0.20032,0.14264,0.0759,0.3788937699680511,2.656293956590375,1.0,0.047326355199999996,1.3803757852435299,0.7797314446200088,0.2842057964502359,0.2755595898666267,0.45550128767611753
cake:Café Tiramisu,mood:Tired,0.14264,0.20032,0.0759,0.5321088053841839,2.656293956590375,1.0,0.047326355199999996,1.7091153011687141,0.7272740058245412,0.2842057964502359,0.41490196751723685,0.45550128767611753
time:Morning,cake:Matcha Zen Cake,0.2522,0.154,0.09764,0.38715305313243464,2.513980864496329,1.0,0.058801200000000005,1.380442546583851,0.8053282938706783,0.3164376458387348,0.27559462545205043,0.5105895135792043
cake:Matcha Zen Cake,time:Morning,0.154,0.2522,0.09764,0.634025974025974,2.513980864496329,1.0,0.058801200000000005,2.0433144073811214,0.7118492886010559,0.3164376458387348,0.5105990559320327,0.5105895135792043
cake:Dark Chocolate Sea Salt Cake,"time:Evening, weather:Rainy",0.39446,0.05978,0.05178,0.13126806266795113,2.195852503645887,1.0,0.0281991812,1.0822901283996733,0.8993559569640193,0.12865874869552255,0.07603333546186118,0.4987220206280538
"time:Evening, weather:Rainy",cake:Dark Chocolate Sea Salt Cake,0.05978,0.39446,0.05178,0.8661759785881565,2.195852503645887,1.0,0.0281991812,4.524897649999999,0.5792218908127803,0.12865874869552255,0.7790005261223975,0.4987220206280538
cake:Korean Sesame Mini Bread,time:Afternoon,0.21818,0.2996,0.13516,0.6194884957374645,2.0677186106056893,1.0,0.069793272,1.8406802216333413,0.6604783706777053,0.3532486540170404,0.4567225810072308,0.5353116710997069
time:Afternoon,cake:Korean Sesame Mini Bread,0.2996,0.21818,0.13516,0.4511348464619493,2.0677186106056893,1.0,0.069793272,1.4244300170274873,0.7372575667664814,0.3532486540170404,0.297964808347125,0.5353116710997069
mood:Tired,cake:Matcha Zen Cake,0.20032,0.154,0.05082,0.253694089456869,1.6473642172523961,1.0,0.019970719999999997,1.1335834113712373,0.4914086846859956,0.16744645799011532,0.11784171330599173,0.2918470447284345
cake:Matcha Zen Cake,mood:Tired,0.154,0.20032,0.05082,0.32999999999999996,1.647364217252396,1.0,0.019970719999999997,1.19355223880597,0.46450318790744316,0.16744645799011532,0.16216486594637852,0.2918470447284345
cake:Dark Chocolate Sea Salt Cake,time:Evening,0.39446,0.24958,0.1595,0.4043502509760179,1.62012281022525,1.0,0.061050673200000016,1.2598343258426967,0.632101663604899,0.32917818962314777,0.20624483752567616,0.5217119473487349
time:Evening,cake:Dark Chocolate Sea Salt Cake,0.24958,0.39446,0.1595,0.639073643721452,1.6201228102252498,1.0,0.061050673200000016,1.6777383792184724,0.5100648188738446,0.32917818962314777,0.4039595133623742,0.5217119473487349
cake:Café Tiramisu,time:Evening,0.14264,0.24958,0.0576,0.4038137969713965,1.6179733831693106,1.0,0.021999908800000002,1.258700714957667,0.4454871478854987,0.17213555675094136,0.205529965847654,0.3173007601733335
time:Evening,cake:Café Tiramisu,0.24958,0.14264,0.0576,0.23078772337527045,1.6179733831693106,1.0,0.021999908800000002,1.114594795291176,0.5089721237588433,0.17213555675094136,0.10281296465343667,0.3173007601733335
cake:Dark Chocolate Sea Salt Cake,time:Night,0.39446,0.19862,0.12582,0.31896770268214775,1.6059193569738583,1.0,0.04747235479999999,1.1767136494937462,0.6230863790298203,0.26927192569447417,0.15017557548497312,0.4762193261170279
time:Night,cake:Dark Chocolate Sea Salt Cake,0.19862,0.39446,0.12582,0.6334709495519081,1.6059193569738581,1.0,0.04747235479999999,1.6520927857142853,0.47081749726436567,0.26927192569447417,0.3947071201768803,0.4762193261170279
"weather:Rainy, cake:Dark Chocolate Sea Salt Cake",time:Evening,0.13074,0.24958,0.05178,0.39605323542909593,1.5868788982654698,1.0,0.019149910800000003,1.2425267325227964,0.42545635372013263,0.15760637974067085,0.19518834176740485,0.3017608912941617
time:Evening,"weather:Rainy, cake:Dark Chocolate Sea Salt Cake",0.24958,0.13074,0.05178,0.2074685471592275,1.5868788982654696,1.0,0.019149910800000003,1.0968145136501517,0.49283359989707437,0.15760637974067085,0.0882688115859783,0.3017608912941617
weather:Cloudy,cake:Café Tiramisu,0.24224,0.14264,0.05276,0.2178005284015852,1.5269246242399412,1.0,0.018206886400000004,1.0960886974878614,0.455406493965535,0.15885824400818982,0.08766507464960485,0.2938413746887343
cake:Café Tiramisu,weather:Cloudy,0.14264,0.24224,0.05276,0.36988222097588336,1.5269246242399412,1.0,0.018206886400000004,1.202568829550512,0.4025016619241903,0.15885824400818982,0.16844676543481227,0.2938413746887343
time:Morning,cake:Korean Sesame Mini Bread,0.2522,0.21818,0.08302,0.32918318794607454,1.5087688511599346,1.0,0.027995003999999997,1.1654746660361743,0.4509333376458844,0.2143225939694341,0.1419804916043009,0.354847346104305
cake:Korean Sesame Mini Bread,time:Morning,0.21818,0.2522,0.08302,0.3805115042625355,1.5087688511599346,1.0,0.027995003999999997,1.2071249186149748,0.43131149099740657,0.2143225939694341,0.1715853226297613,0.354847346104305
cake:Dark Chocolate Sea Salt Cake,mood:Stressed,0.39446,0.20068,0.1192,0.30218526593317446,1.5058065872691573,1.0,0.04003976720000001,1.1454616260989612,0.5547182469338479,0.2504517376139849,0.12698952351145282,0.4480828661736831
mood:Stressed,cake:Dark Chocolate Sea Salt Cake,0.20068,0.39446,0.1192,0.5939804664141918,1.5058065872691573,1.0,0.04003976720000001,1.4914060775650466,0.4202373107745611,0.2504517376139849,0.32949180304222975,0.4480828661736831
cake:Dark Chocolate Sea Salt Cake,mood:Lonely,0.39446,0.14952,0.08748,0.22177153577042033,1.4832232194383383,1.0,0.02850034080000001,1.0928410345950876,0.538020027516394,0.191631982475356,0.08495383285958558,0.4034218834550336
mood:Lonely,cake:Dark Chocolate Sea Salt Cake,0.14952,0.39446,0.08748,0.5850722311396469,1.4832232194383383,1.0,0.02850034080000001,1.4593865377176016,0.38306914620247057,0.191631982475356,0.31478057789683084,0.4034218834550336
weather:Snowy,cake:Dark Chocolate Sea Salt Cake,0.16258,0.39446,0.09024,0.5550498216262763,1.4071130700863872,1.0,0.026108693200000005,1.3609164113906551,0.34549575795193993,0.19331619537275066,0.2652010133538268,0.39190913228046054
cake:Dark Chocolate Sea Salt Cake,weather:Snowy,0.39446,0.16258,0.09024,0.22876844293464485,1.4071130700863872,1.0,0.026108693200000005,1.0858217513641444,0.4777967725073712,0.19331619537275066,0.07903852658719022,0.39190913228046054
weather:Rainy,cake:Dark Chocolate Sea Salt Cake,0.23758,0.39446,0.13074,0.550298846704268,1.3950688199165138,1.0,0.0370241932,1.346538685885436,0.3714350154416199,0.2608019150209456,0.25735516514890516,0.44086964847001664
cake:Dark Chocolate Sea Salt Cake,weather:Rainy,0.39446,0.23758,0.13074,0.33144045023576535,1.3950688199165138,1.0,0.0370241932,1.1403920567268313,0.4676643730769229,0.2608019150209456,0.12310858875129894,0.44086964847001664
weather:Rainy,"time:Evening, cake:Dark Chocolate Sea Salt Cake",0.23758,0.1595,0.05178,0.21794763869012543,1.3664428758001594,1.0,0.013885989999999994,1.0747362217438106,0.35173899774263734,0.14995655951346656,0.06953912991091662,0.27129356856136366
"time:Evening, cake:Dark Chocolate Sea Salt Cake",weather:Rainy,0.1595,0.23758,0.05178,0.32463949843260187,1.3664428758001592,1.0,0.013885989999999994,1.1289081878945413,0.3190634701474617,0.14995655951346656,0.1141883718063559,0.27129356856136366
weather:Sunny,cake:Café Tiramisu,0.27996,0.14264,0.05308,0.18959851407343908,1.3292099977105938,1.0,0.013146505600000004,1.0579447531734838,0.3439717637724808,0.14364581078155447,0.05477105775104868,0.28086207251624845
cake:Café Tiramisu,weather:Sunny,0.14264,0.27996,0.05308,0.3721256309590578,1.3292099977105938,1.0,0.013146505600000004,1.146789924073247,0.2888791508663071,0.14364581078155447,0.12800070962593443,0.28086207251624845
